person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,person_gender_female,person_gender_male,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_Yes
25.0,12438.0,3,5500.0,12.87,0.44,3.0,635,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
23.0,79753.0,0,35000.0,15.23,0.44,2.0,675,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24.0,66135.0,1,35000.0,14.27,0.53,4.0,586,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
21.0,12951.0,0,2500.0,7.14,0.19,2.0,532,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
26.0,93471.0,1,35000.0,12.42,0.37,3.0,701,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24.0,95550.0,5,35000.0,11.11,0.37,4.0,585,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
24.0,100684.0,3,35000.0,8.9,0.35,2.0,544,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21.0,12739.0,0,1600.0,14.74,0.13,3.0,640,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
22.0,102985.0,0,35000.0,10.37,0.34,4.0,621,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
23.0,114860.0,3,35000.0,7.9,0.3,2.0,573,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26.0,130713.0,0,35000.0,18.39,0.27,4.0,708,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
23.0,600891.0,5,30000.0,10.65,0.05,3.0,670,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
23.0,111369.0,0,35000.0,20.0,0.31,4.0,694,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
23.0,136628.0,0,35000.0,18.25,0.26,4.0,709,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
22.0,79255.0,0,34000.0,17.58,0.43,4.0,691,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
24.0,82443.0,0,33000.0,12.68,0.4,3.0,654,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
24.0,79054.0,1,32500.0,9.99,0.41,3.0,700,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21.0,14988.0,0,4000.0,12.84,0.27,2.0,553,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
21.0,14858.0,0,2000.0,11.12,0.13,3.0,589,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
26.0,114645.0,2,31050.0,14.17,0.27,3.0,681,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21.0,15150.0,0,2500.0,7.51,0.17,4.0,600,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22.0,58868.0,0,30000.0,18.39,0.51,2.0,606,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23.0,86811.0,0,30000.0,11.01,0.35,4.0,602,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
26.0,75503.0,5,30000.0,17.99,0.4,2.0,616,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26.0,361293.0,5,20000.0,7.88,0.06,4.0,684,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
23.0,361547.0,0,24250.0,19.41,0.07,2.0,637,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
22.0,80838.0,0,30000.0,12.69,0.37,3.0,645,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
23.0,94550.0,1,30000.0,18.62,0.32,3.0,570,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
23.0,111153.0,3,30000.0,15.23,0.27,3.0,648,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
22.0,331034.0,0,12000.0,11.58,0.04,2.0,602,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
26.0,316466.0,6,10000.0,11.01,0.03,4.0,579,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
25.0,267671.0,0,25000.0,15.7,0.09,2.0,582,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
22.0,85191.0,0,29100.0,15.99,0.34,3.0,700,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
24.0,306897.0,5,9600.0,6.99,0.03,2.0,562,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
25.0,301136.0,0,25000.0,13.49,0.08,4.0,664,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
25.0,15162.0,1,3000.0,11.01,0.2,3.0,564,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
22.0,69042.0,0,28000.0,11.01,0.41,2.0,598,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26.0,102654.0,4,28000.0,7.49,0.27,3.0,690,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26.0,15229.0,1,6100.0,7.51,0.4,3.0,599,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
22.0,106566.0,0,28000.0,9.91,0.26,3.0,604,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
22.0,15432.0,3,4750.0,7.14,0.31,2.0,601,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24.0,100332.0,1,28000.0,15.99,0.28,4.0,634,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
26.0,15505.0,0,2700.0,11.01,0.17,4.0,587,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
